clock,date,day_position,phase,n,k1_ic,reversal_mean10_ic,k1_spread,reversal_mean10_spread,k1_top30_excess,reversal_mean10_top30_excess
1430,2017-01-06,2435,2,1447,0.1946860187535816,0.14225554897879797,0.051761551407354195,0.03349766589326464,0.028309365190345482,0.05336438900377166
1430,2017-01-13,2440,3,1448,0.18090553708390839,0.19991176597139118,0.05591128455358153,0.04215432444848726,0.05771027290244197,0.06850514942994883
1430,2017-01-20,2445,0,1458,0.30484028214780806,0.22416063442446282,0.09941682625917722,0.08843615446322506,0.11384909123073846,0.08703091735920762
1430,2017-02-03,2450,1,1497,0.380719623162006,0.2285364836610814,0.12753365815760903,0.09551548712805613,0.16117005264268683,0.1139013885353393
1430,2017-02-10,2455,2,1491,0.4315694679440875,0.24579776914360554,0.15223681616959503,0.0976604543563413,0.12240785283533666,0.05585187072703115
1430,2017-02-17,2460,3,1487,0.25820792537783976,0.13303058189280834,0.10240875194623997,0.05643838457468224,0.13326361946260215,0.057795804530645714
1430,2017-02-24,2465,0,1503,0.10906393929425903,0.039915328280459225,0.03787971162450655,0.019373876370858245,0.07800398547509188,0.03581377212885891
1430,2017-03-03,2470,1,1551,0.08530124329692465,0.044984449566099476,0.0272003780992236,0.01676141877805123,0.03384252604768655,-0.01106382527376792
1430,2017-03-10,2475,2,1536,0.09765230742464835,0.08748982084690554,0.0477204117617719,0.04414065751312544,-0.01175465007085279,-0.005239771445492163
1430,2017-03-17,2480,3,1541,0.11596422934056018,0.09788927631679697,0.061160870601329353,0.04830991389009158,0.005857022911378161,0.016450975964845137
1430,2017-03-24,2485,0,1554,0.039692766514840196,0.08390830514135061,0.041755546454430345,0.04809414315743432,-0.00033131637574770797,0.029150512147431185
1430,2017-03-31,2490,1,1592,0.0008386080766949243,8.173953580925373e-05,0.04082423442064597,-0.006855774373577544,0.025641738899758428,0.004221502634161185
1430,2017-04-11,2495,2,1579,0.18657606493370296,0.09405113250167656,0.07499959176720661,0.01237215948288157,0.017027780486079697,0.01976179116044953
1430,2017-04-18,2500,3,1576,0.050523235951571294,0.02933255712824965,-0.0015641244145586292,-0.0224917627483418,0.04080243820835538,0.006083176101642624
1430,2017-04-25,2505,0,1589,-0.05662896426338441,0.007710140910121565,-0.02466879858446744,-0.014022111381356946,-0.012551976297459426,0.01249429724076249
1430,2017-05-03,2510,1,1628,0.08973767591681696,0.06851841109040918,0.06901911590105073,0.053466737903902495,0.06601476141666578,0.029736412752223083
1430,2017-05-10,2515,2,1613,0.11100150165161378,0.1631448238355913,0.08753106356070592,0.0758466726804936,0.038072750781143645,0.04938778100351425
