clock,seed,day_position,date,phase,n,f_rankic,h_rankic
1430,47,2435,2017-01-06,2,1447,0.15521140054354285,0.2048276036723751
1430,47,2440,2017-01-13,3,1448,0.15239402973955612,0.18300446776419246
1430,47,2445,2017-01-20,0,1458,0.28210200484025094,0.2648474033556838
1430,47,2450,2017-02-03,1,1497,0.3383710975923989,0.32860438611385256
1430,47,2455,2017-02-10,2,1491,0.3795703888480133,0.3261046314593392
1430,47,2460,2017-02-17,3,1487,0.26093363426896254,0.20259984643535484
1430,47,2465,2017-02-24,0,1503,0.11010651455229972,0.06374332743697521
1430,47,2470,2017-03-03,1,1551,0.07671348735606602,0.061704160311947816
1430,47,2475,2017-03-10,2,1536,0.07642129322530672,0.131906105028197
1430,47,2480,2017-03-17,3,1541,0.09865370377797247,0.14670914750225522
1430,47,2485,2017-03-24,0,1554,0.041224740101926255,0.08375676306708763
1430,47,2490,2017-03-31,1,1592,-0.025219391870344703,0.01349434261234096
1430,47,2495,2017-04-11,2,1579,0.15969325400404544,0.17621075126216654
1430,47,2500,2017-04-18,3,1576,0.04073803553590723,0.03141276835903593
1430,47,2505,2017-04-25,0,1589,-0.05466701126444103,-0.06696919667373619
1430,47,2510,2017-05-03,1,1628,0.07030366139257194,0.07285438448443946
1430,47,2515,2017-05-10,2,1613,0.1345829516171266,0.13990546898327078
1430,47,2520,2017-05-17,3,1608,0.22692000627270625,0.218634236257347
1430,47,2525,2017-05-24,0,1614,0.16969526324144882,0.1608825655367511
1430,47,2530,2017-06-02,1,1660,0.1845506924681196,0.18082333459984562
1430,47,2535,2017-06-09,2,1656,0.12219654238904575,0.13056370585280613
1430,47,2540,2017-06-16,3,1641,0.157732517687512,0.15711789399055548
1430,47,2545,2017-06-23,0,1641,0.1733027122182366,0.20582316686206764
1430,47,2550,2017-06-30,1,1682,0.18148886164473899,0.1870551483948037
1430,47,2555,2017-07-07,2,1680,0.1744200184716214,0.1720340188815057
1430,47,2560,2017-07-14,3,1688,0.1975261286349618,0.1826626273751478
1430,47,2565,2017-07-21,0,1683,0.30025532222835544,0.26553122076243135
1430,47,2570,2017-07-28,1,1730,0.3519406168504897,0.330475934803576
1430,47,2575,2017-08-04,2,1733,0.180541111362028,0.1481188942366368
1430,47,2580,2017-08-11,3,1724,0.0628515982255138,0.03932483061134482
1430,47,2585,2017-08-18,0,1732,0.07776927198981876,0.06994885677469752
1430,47,2590,2017-08-25,1,1774,0.08121576681756375,0.0680859756846744
1430,47,2595,2017-09-01,2,1769,0.16043074628790066,0.15006446503859297
1430,47,2600,2017-09-08,3,1758,0.20934339543262184,0.20313433200098022
1430,47,2605,2017-09-15,0,1764,0.2684344522381348,0.27211936124276737
1430,47,2610,2017-09-22,1,1797,0.29337481114416974,0.28409496163500536
1430,47,2615,2017-09-29,2,1808,0.19348614257553043,0.1528244500505181
1430,47,2620,2017-10-13,3,1800,0.07856261070788531,0.04600562942560579
1430,47,2625,2017-10-20,0,1813,0.024241372460678,0.01551416762551853
1430,47,2630,2017-10-27,1,1832,0.1301708229887192,0.10072325960581804
1430,47,2635,2017-11-03,2,1832,0.09075733131998673,0.10333811414155593
1430,47,2640,2017-11-10,3,1814,0.01577843249974867,0.01002629670565924
1430,47,2645,2017-11-17,0,1820,0.11560039704167269,0.09248387549425559
1430,47,2650,2017-11-24,1,1853,0.1466519328546193,0.1496270116710283
1430,47,2655,2017-12-01,2,1857,0.21297266572278237,0.21890809692201812
1430,47,2660,2017-12-08,3,1846,0.2000188527660728,0.21215794720751463
1430,47,2665,2017-12-15,0,1851,0.2358230358149774,0.27478286636101046
1430,47,2670,2017-12-22,1,1877,0.0908489457581797,0.13970289517521994
1430,47,2675,2017-12-29,2,1894,-0.11202068344211523,-0.025236262002106262
1445,47,2435,2017-01-06,2,1447,0.1645329523464721,0.1941023354604649
1445,47,2440,2017-01-13,3,1448,0.15184259571663264,0.16229663286434684
1445,47,2445,2017-01-20,0,1458,0.27913051888573986,0.2737892019457778
1445,47,2450,2017-02-03,1,1497,0.33724746208895373,0.3311953437157116
1445,47,2455,2017-02-10,2,1491,0.3613482250177387,0.29319084161481473
1445,47,2460,2017-02-17,3,1487,0.24870914501169938,0.18401260029504757
1445,47,2465,2017-02-24,0,1503,0.10540963360414056,0.0580543696300065
1445,47,2470,2017-03-03,1,1551,0.06991191410885883,0.04401230140632528
1445,47,2475,2017-03-10,2,1536,0.09624584621677239,0.13048425218126602
1445,47,2480,2017-03-17,3,1541,0.1048418800171793,0.13780062331182555
1445,47,2485,2017-03-24,0,1554,0.04586679577849039,0.07432645914290195
1445,47,2490,2017-03-31,1,1592,-0.013667383341928714,0.018892505261761425
1445,47,2495,2017-04-11,2,1579,0.16978529640394768,0.18285984986748055
1445,47,2500,2017-04-18,3,1576,0.041644300954821155,0.028830424173699493
1445,47,2505,2017-04-25,0,1589,-0.05094999726178166,-0.06090828870805116
1445,47,2510,2017-05-03,1,1628,0.06656964262902726,0.06354698181162508
1445,47,2515,2017-05-10,2,1613,0.14660392895728516,0.14204878905435533
1445,47,2520,2017-05-17,3,1608,0.22770226183104134,0.2213388169890039
1445,47,2525,2017-05-24,0,1614,0.16116753707887657,0.1534799783524262
1445,47,2530,2017-06-02,1,1660,0.1801513489838085,0.18441154444818694
1445,47,2535,2017-06-09,2,1656,0.11986372133997836,0.13510016310811823
1445,47,2540,2017-06-16,3,1641,0.15244282342597856,0.14751142792854469
1445,47,2545,2017-06-23,0,1641,0.18551284022483122,0.19760953212010035
1445,47,2550,2017-06-30,1,1682,0.18554956550164606,0.1826926859196518
1445,47,2555,2017-07-07,2,1680,0.17582329530911217,0.16885870596508248
1445,47,2560,2017-07-14,3,1688,0.20248951278571373,0.1934827395555606
1445,47,2565,2017-07-21,0,1683,0.2949761076498792,0.26910853216572883
1445,47,2570,2017-07-28,1,1730,0.34603485988908,0.3230219443874518
1445,47,2575,2017-08-04,2,1733,0.16281288771557154,0.13625359277899052
1445,47,2580,2017-08-11,3,1724,0.07239451715121792,0.04847754805168284
1445,47,2585,2017-08-18,0,1732,0.08089026444246122,0.07039197991665341
1445,47,2590,2017-08-25,1,1774,0.08223059007898756,0.06808730617336273
1445,47,2595,2017-09-01,2,1769,0.16450928338608994,0.14688347879785438
1445,47,2600,2017-09-08,3,1758,0.20526026869825134,0.1899147937810317
1445,47,2605,2017-09-15,0,1764,0.26298816972393363,0.2545110347529929
1445,47,2610,2017-09-22,1,1797,0.294795338602002,0.2781925648931531
1445,47,2615,2017-09-29,2,1808,0.18825061670180634,0.15118048421731228
1445,47,2620,2017-10-13,3,1800,0.07860774648387236,0.0414330601130844
1445,47,2625,2017-10-20,0,1813,0.031125955883883033,0.018794365067804384
1445,47,2630,2017-10-27,1,1832,0.11872229001152336,0.10694729445341218
1445,47,2635,2017-11-03,2,1832,0.09769119208234738,0.1126753803477208
1445,47,2640,2017-11-10,3,1814,0.035009241106121074,0.02757062901394865
1445,47,2645,2017-11-17,0,1820,0.10504975098407231,0.07848259202489173
1445,47,2650,2017-11-24,1,1853,0.1512124595606938,0.13798352777783468
1445,47,2655,2017-12-01,2,1857,0.2091891463569738,0.19618834294997164
1445,47,2660,2017-12-08,3,1846,0.21282825527364427,0.21415747352294442
1445,47,2665,2017-12-15,0,1851,0.25597250361808194,0.2671991831086734
1445,47,2670,2017-12-22,1,1877,0.11280452422874614,0.13724405625257224
1445,47,2675,2017-12-29,2,1894,-0.06898960716934598,-0.0006163274217714862
