day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock,seed
2435,2017-01-06,2,F,1447,0.18858256708808946,0.047856832899722375,0.035945940921859196,0.004455716058987193,0.031490224862872,False,1430,11
2435,2017-01-06,2,H,1447,0.17949505119543954,0.04424341029567182,0.029423335136380048,0.004455716058987193,0.024967619077392856,False,1430,11
2440,2017-01-13,3,F,1448,0.16382682548363642,0.05237094518482384,0.06714456382518014,0.0035217414472197947,0.06362282237796034,True,1430,11
2440,2017-01-13,3,H,1448,0.15687248158772651,0.04789424676538248,0.05770243248747041,0.0035217414472197947,0.05418069104025061,False,1430,11
2445,2017-01-20,0,F,1458,0.2715005342192224,0.09535799570733397,0.12985964238954087,0.004913740236775776,0.12494590215276509,False,1430,11
2445,2017-01-20,0,H,1458,0.246958018418326,0.08558443280336836,0.11603789643753165,0.004913740236775776,0.11112415620075587,False,1430,11
2450,2017-02-03,1,F,1497,0.317115768416666,0.11802233378630446,0.15015851284066836,0.0003093954342716263,0.14984911740639673,False,1430,11
2450,2017-02-03,1,H,1497,0.28782541343369433,0.10142495563093006,0.13659863777769107,0.0003093954342716263,0.13628924234341944,False,1430,11
2455,2017-02-10,2,F,1491,0.3428567301391884,0.11349371624227626,0.10521381018722119,-0.001600661577273128,0.10681447176449431,False,1430,11
2455,2017-02-10,2,H,1491,0.3076608960128513,0.10784995648189566,0.10210790410055778,-0.001600661577273128,0.1037085656778309,False,1430,11
2460,2017-02-17,3,F,1487,0.22313737320427746,0.10606156038674935,0.13511950358127553,0.0016190537239583263,0.1335004498573172,False,1430,11
2460,2017-02-17,3,H,1487,0.18131373362700473,0.0897368725380983,0.13681669315944114,0.0016190537239583263,0.13519763943548282,False,1430,11
2465,2017-02-24,0,F,1503,0.09911968778537776,0.03905720421171282,0.10523721215625605,0.0025915259092164594,0.10264568624703958,False,1430,11
2465,2017-02-24,0,H,1503,0.053918443674737956,0.034664552717246506,0.0688130127886931,0.0025915259092164594,0.06622148687947664,False,1430,11
2470,2017-03-03,1,F,1551,0.08382190105742951,0.031121375227549805,0.03174962468910962,0.004463361834911193,0.027286262854198426,False,1430,11
2470,2017-03-03,1,H,1551,0.06136824842614171,0.015992418798475315,0.026452271178519973,0.004463361834911193,0.02198890934360878,False,1430,11
2475,2017-03-10,2,F,1536,0.1374129672476312,0.05376316047272815,0.0012432853768890102,0.008248986970533187,-0.007005701593644177,False,1430,11
2475,2017-03-10,2,H,1536,0.1498074272452152,0.06302225104540934,0.03857327774943163,0.008248986970533187,0.030324290778898443,False,1430,11
2480,2017-03-17,3,F,1541,0.12238415084462297,0.06787646140384657,-0.015354834694880993,0.0010412039608635839,-0.016396038655744575,False,1430,11
2480,2017-03-17,3,H,1541,0.14169455962874256,0.05463751315595824,-0.013580892805475742,0.0010412039608635839,-0.014622096766339326,False,1430,11
2485,2017-03-24,0,F,1554,0.06740543886861666,0.05662778787645362,-0.04808782705416282,-0.0002858877961681411,-0.047801939257994676,False,1430,11
2485,2017-03-24,0,H,1554,0.07762129520742143,0.061653115172239564,-0.03359503870209058,-0.0002858877961681411,-0.03330915090592244,False,1430,11
2490,2017-03-31,1,F,1592,-0.012313110554613696,0.03362514216777921,-0.00446606659485648,-0.004269191239425014,-0.00019687535543146638,False,1430,11
2490,2017-03-31,1,H,1592,-0.008416346815080729,0.035557047441988336,-0.012415512395091356,-0.004269191239425014,-0.008146321155666342,False,1430,11
2495,2017-04-11,2,F,1579,0.16806910915614873,0.05712103741955321,-0.01680766618034492,-0.006571227050816162,-0.010236439129528756,False,1430,11
2495,2017-04-11,2,H,1579,0.16370531452195566,0.06292561552439857,0.008617606673700115,-0.006571227050816162,0.015188833724516276,False,1430,11
2500,2017-04-18,3,F,1576,0.03945039345964446,-0.01054396195261914,0.03369074962053371,-0.00808502858753716,0.041775778208070866,False,1430,11
2500,2017-04-18,3,H,1576,0.009226224389179173,-0.01490878135829372,0.03696143070458978,-0.00808502858753716,0.04504645929212694,False,1430,11
