day_position,rankic_F,rankic_H,delta,phase,n
2680,0.1419219442378232,0.11802647193239858,0.023895472305424617,3,1850
2685,0.2225019702804645,0.1852775607507294,0.0372244095297351,0,1853
2690,0.18033544149366915,0.15300802220864107,0.027327419285028076,1,1890
2695,0.24761632875580727,0.22440144411101173,0.02321488464479554,2,1896
2700,0.28785202595719517,0.2936437564666993,-0.005791730509504156,3,1890
2705,0.21727805524251703,0.2508632678850509,-0.03358521264253389,0,1902
2710,0.23818074102148856,0.12514211410050033,0.11303862692098823,1,1931
2715,0.2623942559254644,0.11730069508407988,0.14509356084138453,2,1952
2720,0.028074590382557652,-0.16902896019710792,0.19710355057966558,3,1945
2725,0.07716206379159311,-0.03495690736756496,0.11211897115915807,0,1945
2730,0.031402211889472086,0.014652694903834234,0.01674951698563785,1,1985
2735,0.07888682676299602,0.04994022739148238,0.028946599371513643,2,2008
2740,0.05963589864615171,0.04229602234215734,0.01733987630399437,3,1993
2745,0.14398985082857646,0.1491781058725776,-0.005188255044001139,0,2000
2750,0.11484739135072536,0.10705241752919929,0.007794973821526066,1,2034
2755,0.07781144160180262,0.06753413631010939,0.010277305291693226,2,2059
2760,0.036057777971807266,0.011586307131976085,0.02447147083983118,3,2041
2765,0.04812468747676131,0.031121534629373695,0.017003152847387615,0,2033
2770,0.0019696355138315493,-0.031845662421005116,0.03381529793483667,1,2068
2775,0.09309771722166474,0.06181544568664611,0.03128227153501863,2,2095
2780,0.075909857262251,0.06289557519277592,0.01301428206947508,3,2083
2785,0.10835769280109127,0.11002634565418182,-0.0016686528530905492,0,2090
2790,0.18650254306362238,0.20163791887935212,-0.01513537581572974,1,2132
2795,0.07877806979365826,0.18639650307622685,-0.10761843328256859,2,2166
2800,0.14605834441065532,0.20561380573613094,-0.05955546132547562,3,2157
2805,0.13679368634083702,0.18072571225701786,-0.04393202591618084,0,2168
2810,0.04394367731328637,0.06698464056006873,-0.023040963246782356,1,2202
2815,0.007042425927503153,0.023485390446735283,-0.01644296451923213,2,2234
2820,0.2183098421957605,0.21125086517437366,0.007058977021386831,3,2229
2825,0.1766458569079377,0.14941402719721275,0.027231829710724936,0,2223
2830,0.15628763942288795,0.1419273721766341,0.01436026724625386,1,2258
2835,0.12534629214207685,0.1290432316508307,-0.003696939508753855,2,2284
2840,0.12234182473948257,0.13539994631220287,-0.013058121572720294,3,2290
2845,0.07318342318290912,0.08725063418612385,-0.01406721100321473,0,2289
2850,0.17699917674798848,0.20250462948885678,-0.025505452740868295,1,2326
2855,0.16353830628787713,0.12556484611453722,0.03797346017333991,2,2338
2860,0.14933646805039916,0.14071192300235258,0.008624545048046578,3,2338
2865,0.3917073646812865,0.406236700655563,-0.014529335974276525,0,2347
2870,0.38197053130745645,0.31665297982888996,0.0653175514785665,1,2385
2875,0.13804561067829219,0.09418345334201,0.04386215733628218,2,2402
2880,0.05274585784717594,-0.06091580810405223,0.11366166595122817,3,2404
2885,0.02248682700879048,-0.017453127843954454,0.03993995485274493,0,2425
2890,0.13889745048297025,0.1320729339743783,0.006824516508591949,1,2448
2895,0.11927215248160102,0.1197315325004687,-0.00045938001886768054,2,2458
2900,0.11191553833130348,0.07050750285562209,0.04140803547568139,3,2466
2905,0.14966437189228246,0.09361859936374706,0.056045772528535404,0,2488
2910,0.17785540553821994,0.14462021449399615,0.03323519104422379,1,2525
2915,0.19882981652374698,0.2070607674127445,-0.00823095088899753,2,2538
2920,0.06657997351365072,0.22248342156022954,-0.15590344804657882,3,2558
2925,-0.07037072996168472,0.07202315266909722,-0.14239388263078195,0,2580
2930,-0.1561648551087722,-0.058377266270924995,-0.09778758883784722,1,2597
2935,-0.08809744534369225,-0.06549909961220773,-0.022598345731484518,2,2602
2940,0.18511309927943517,0.20398601306917713,-0.018872913789741957,3,2622
2945,0.12535333388834502,0.13501161284972962,-0.009658278961384603,0,2645
2950,0.09570178784863864,0.06700181083088343,0.028699977017755215,1,2654
2955,0.13965088388581862,0.08839821247503868,0.05125267141077994,2,2649
2960,0.1368055127103165,0.09142147754880289,0.0453840351615136,3,2677
2965,0.21634789456368575,0.18958333997713972,0.02676455458654603,0,2706
2970,0.20698963714399632,0.18840110902037824,0.01858852812361808,1,2702
2975,0.2661153773719591,0.247416715864449,0.018698661507510123,2,2698
2980,0.255647952585267,0.23900948573016514,0.01663846685510187,3,2725
2985,0.23366218260518004,0.21067126198916164,0.0229909206160184,0,2755
2990,0.2146797253442867,0.19499238815309983,0.01968733719118687,1,2760
2995,0.17789134973744386,0.15101452387042139,0.026876825867022475,2,2754
3000,0.06625398247824689,0.022542095108753938,0.043711887369492955,3,2775
3005,0.23686253670720822,0.2163837493228756,0.02047878738433262,0,2806
3010,0.1789166310996077,0.1701204536892693,0.00879617741033839,1,2819
3015,0.2780035063758735,0.26749000869618056,0.010513497679692951,2,2813
3020,0.2078694686384212,0.19501981179064348,0.012849656847777724,3,2827
3025,0.2161877544132807,0.19750571772388795,0.01868203668939275,0,2860
3030,0.24920448345574542,0.21169118533296277,0.037513298122782646,1,2871
3035,0.2293460221524923,0.19966863191416068,0.02967739023833163,2,2862
3040,0.13769747391339338,0.11618516965252092,0.02151230426087246,3,2882
3045,0.10696801582493284,0.08642189613575316,0.020546119689179687,0,2907
3050,0.07392272997777471,0.05216251797457409,0.021760212003200628,1,2920
3055,0.2004273203857325,0.1837215555677412,0.016705764817991298,2,2920
