days,win_days,loss_days,zero_or_tie_days,mean_rankic_F,mean_rankic_H,mean_delta_rankic,median_delta_rankic,clock,seed,scope,year,phase
48,30,18,0,0.1285899981205411,0.12441203000353684,0.004177968117004241,0.002940136664945677,1430,11,year,2018,
49,33,16,0,0.15004816282794237,0.14882219886223455,0.0012259639657078393,0.004779770398285532,1430,11,year,2019,
45,32,13,0,0.17727076739889533,0.17037111623845472,0.0068996511604405885,0.0052673787456143095,1430,11,year,2020,
36,28,8,0,0.1582673265080951,0.15515700167078997,0.0031103248373051725,0.005056976894391538,1430,11,phase,,0
35,25,10,0,0.15092438797581179,0.14574365340027842,0.005180734575533364,0.005787444249225782,1430,11,phase,,1
35,24,11,0,0.1480943927470121,0.14235244530787555,0.005741947439136553,0.005764217632090453,1430,11,phase,,2
36,18,18,0,0.14829398171431055,0.14615971945044162,0.0021342622638689146,0.0001036627682625968,1430,11,phase,,3
48,35,13,0,0.14670696040214218,0.11572518197992494,0.030981778422217224,0.03497454980613321,1430,29,year,2018,
49,41,8,0,0.16112299746852488,0.13616953298666867,0.024953464481856223,0.02928343056028801,1430,29,year,2019,
45,39,6,0,0.198402237226951,0.15912955176141075,0.0392726854655402,0.04092257049064407,1430,29,year,2020,
36,28,8,0,0.1713673005003749,0.14651668123905892,0.024850619261315966,0.025019761649239722,1430,29,phase,,0
35,28,7,0,0.16880789177788288,0.1359810308652942,0.032826860912588685,0.04238366566780036,1430,29,phase,,1
35,30,5,0,0.1661565991078093,0.129190874409918,0.03696572469789131,0.03719560395492223,1430,29,phase,,2
36,29,7,0,0.1658911569850171,0.13423134642800277,0.031659810557014334,0.036871704813693215,1430,29,phase,,3
48,26,22,0,0.13671902731770985,0.12699609612550786,0.009722931192201988,0.004923610051185672,1430,47,year,2018,
49,36,13,0,0.1524339880335554,0.14111324755080865,0.011320740482746732,0.014681086792767917,1430,47,year,2019,
45,25,20,0,0.18396270535957615,0.1632682019132411,0.020694503446334993,0.002441149805893106,1430,47,year,2020,
36,18,18,0,0.16201333653824912,0.15210135287838808,0.00991198365986107,0.0020595813424579487,1430,47,phase,,0
35,22,13,0,0.1558541516499645,0.14411654510338137,0.011737606546583151,0.010599114796091103,1430,47,phase,,1
35,23,12,0,0.15376873423731877,0.13854838617537596,0.015220348061942793,0.010726828084871864,1430,47,phase,,2
36,24,12,0,0.15668942624009247,0.1385697092147604,0.018119717025332053,0.01137727720769642,1430,47,phase,,3
48,41,7,0,0.12598841561626858,0.10675173889252965,0.0192366767237389,0.016728124320707034,1445,11,year,2018,
49,41,8,0,0.15014326663045574,0.13660792785004713,0.013535338780408603,0.016554007025116113,1445,11,year,2019,
45,39,6,0,0.17699473612957045,0.15706099738044949,0.01993373874912095,0.01789929889228854,1445,11,year,2020,
36,30,6,0,0.1563923178189873,0.14164228937601137,0.014750028442975892,0.016632339976614317,1445,11,phase,,0
35,32,3,0,0.14887277593402992,0.12945272503690666,0.019420050897123245,0.019597748950537952,1445,11,phase,,1
35,31,4,0,0.14743564480316834,0.1255501044474187,0.02188554035574968,0.023937345462339558,1445,11,phase,,2
36,28,8,0,0.1491196936949558,0.13503876011461557,0.014080933580340191,0.01440019152322795,1445,11,phase,,3
48,32,16,0,0.1422629490311815,0.11790477543160675,0.024358173599574734,0.021860843341891464,1445,29,year,2018,
49,41,8,0,0.15988975166811878,0.14066135312256456,0.01922839854555423,0.027948570467986267,1445,29,year,2019,
45,37,8,0,0.19716186503829855,0.16071378590590008,0.03644807913239851,0.034061488452606814,1445,29,year,2020,
36,25,11,0,0.16685646248031072,0.1480817104826361,0.018774751997674588,0.023456832105064607,1445,29,phase,,0
35,29,6,0,0.16597248746774687,0.13757887129119267,0.028393616176554184,0.029963775165640874,1445,29,phase,,1
35,28,7,0,0.16575703614762052,0.13305749023431246,0.03269954591330802,0.034061488452606814,1445,29,phase,,2
36,28,8,0,0.16439270378135906,0.13835393496446416,0.02603876881689487,0.030491638798648996,1445,29,phase,,3
48,25,23,0,0.1336158138562443,0.1229612960142088,0.010654517842035504,0.002480933326077392,1445,47,year,2018,
49,34,15,0,0.15149028213410767,0.14199731610456862,0.009492966029539043,0.019264903539714495,1445,47,year,2019,
45,26,19,0,0.18335520669835054,0.1623892761599419,0.020965930538408645,0.006569166937578114,1445,47,year,2020,
36,18,18,0,0.1596279609440849,0.1509649312721307,0.008663029671954233,0.0005727257118922219,1445,47,phase,,0
35,23,12,0,0.15301947731947574,0.1413698699547445,0.011649607364731224,0.015080047856834172,1445,47,phase,,1
35,22,13,0,0.1532685448255608,0.1370943666737145,0.016174178151846293,0.008333468754584739,1445,47,phase,,2
36,22,14,0,0.15613555061204,0.13851506436695837,0.017620486245081682,0.008605445638259199,1445,47,phase,,3
