日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率
2009-01-01,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1868.01,1907.53,1863.72,1907.53,,3.77,9516143630.0,680.71,,
2009-01-05,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1868.01,1907.53,1863.72,1907.53,,3.77,9516143630.0,680.71,,
2009-01-06,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1904.88,1972.4,1904.88,1968.61,,3.2,14012530177.0,1014.97,,
2009-01-07,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1968.45,1982.78,1961.5,1963.84,,-0.24,13022603941.0,937.2,,
2009-01-08,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1928.24,1936.15,1908.99,1919.18,,-2.27,11307876376.0,839.12,,
2009-01-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1917.61,1958.12,1917.61,1957.02,,1.97,10491933385.0,785.22,,
2009-01-12,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1951.69,1992.31,1951.66,1966.55,,0.49,12317275894.0,914.59,,
2009-01-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1941.02,1952.86,1918.6,1918.6,,-2.44,10905894812.0,770.59,,
2009-01-14,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1915.47,1997.04,1915.47,1997.04,,4.09,12514083619.0,940.45,,
2009-01-15,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,1978.45,2024.57,1978.45,2002.73,,0.29,16588161834.0,1215.57,,
2009-01-16,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2012.81,2062.33,2012.81,2030.83,,1.4,18712356512.0,1425.52,,
2009-01-19,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2048.6,2075.9,2028.07,2045.51,,0.72,15044919778.0,1143.64,,
2009-01-20,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2040.34,2060.92,2022.34,2060.92,,0.75,10773540155.0,811.45,,
2009-01-21,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2031.44,2080.42,2031.44,2057.99,,-0.14,12852572959.0,1016.82,,
2009-01-22,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2070.9,2086.2,2055.67,2084.62,,1.29,12895985330.0,987.99,,
2009-01-23,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2080.26,2091.98,2068.43,2071.7,,-0.62,12283360538.0,919.34,,
2009-02-02,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2091.11,2108.37,2074.22,2108.37,,1.77,12372063410.0,916.28,,
2009-02-03,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2108.33,2162.5,2108.33,2162.5,,2.57,19260487400.0,1417.11,,
2009-02-04,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2172.2,2216.76,2172.2,2216.76,,2.51,21588252191.0,1608.2,,
2009-02-05,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2214.86,2249.07,2187.42,2195.74,,-0.95,23785989998.0,1827.75,,
2009-02-06,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2202.21,2286.37,2202.21,2286.37,,4.13,23424267969.0,1802.82,,
2009-02-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2319.81,2358.87,2303.51,2351.28,,2.84,27921058797.0,2237.86,,
2009-02-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2341.69,2392.67,2322.58,2392.67,,1.76,25357389125.0,2044.76,,
2009-02-11,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2352.74,2436.98,2352.74,2396.88,,0.18,30392666024.0,2566.31,,
2009-02-12,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2402.12,2402.12,2325.83,2401.41,,0.19,25103036060.0,2096.79,,
2009-02-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2404.97,2486.68,2404.65,2484.37,,3.46,28689336855.0,2423.07,,
2009-02-16,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2507.51,2542.83,2477.66,2542.83,,2.35,30343946795.0,2611.2,,
2009-02-17,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2539.05,2545.49,2457.5,2457.5,,-3.36,28148831455.0,2453.05,,
2009-02-18,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2403.04,2443.83,2349.82,2351.26,,-4.32,22937846712.0,1975.4,,
2009-02-19,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2372.85,2399.62,2344.89,2382.71,,1.34,18661834953.0,1608.02,,
2009-02-20,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2386.12,2439.84,2372.55,2439.84,,2.4,18813216517.0,1647.36,,
2009-02-23,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2430.45,2520.37,2412.05,2512.42,,2.98,23161005546.0,2050.19,,
2009-02-24,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2479.65,2515.05,2403.45,2403.45,,-4.34,26914077680.0,2376.92,,
2009-02-25,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2426.83,2428.09,2336.96,2411.12,,0.32,22312412791.0,1988.48,,
2009-02-26,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2404.55,2433.83,2251.05,2275.22,,-5.64,21553846854.0,1881.42,,
2009-02-27,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2244.65,2255.4,2175.51,2196.87,,-3.44,17849399563.0,1441.54,,
2009-03-02,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2175.74,2241.05,2175.74,2231.85,,1.59,12794475597.0,1077.49,,
2009-03-03,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2175.7,2242.5,2173.65,2222.5,,-0.42,14282244417.0,1203.01,,
2009-03-04,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2230.4,2369.35,2230.4,2365.74,,6.45,21570889399.0,1852.05,,
2009-03-05,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2393.81,2416.86,2344.79,2385.69,,0.84,25198032438.0,2198.98,,
2009-03-06,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2341.05,2391.25,2341.05,2367.21,,-0.78,17438752287.0,1516.32,,
2009-03-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2380.35,2409.03,2271.14,2274.79,,-3.9,17498123974.0,1496.58,,
2009-03-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2247.27,2319.93,2241.79,2319.93,,1.99,11868429094.0,1001.82,,
2009-03-11,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2365.96,2365.96,2299.21,2302.72,,-0.74,14702016017.0,1270.75,,
2009-03-12,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2289.93,2302.14,2236.57,2302.14,,-0.03,12391214849.0,1038.52,,
2009-03-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2314.16,2331.48,2283.91,2287.8,,-0.62,11847637404.0,1028.02,,
2009-03-16,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2279.75,2324.82,2270.58,2323.47,,1.56,10481316768.0,896.92,,
2009-03-17,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2326.27,2411.76,2324.1,2407.27,,3.61,18647642527.0,1646.2,,
2009-03-18,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2419.51,2460.77,2418.42,2423.25,,0.66,21517071450.0,1892.99,,
2009-03-19,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2427.47,2475.2,2427.47,2475.2,,2.14,20745015131.0,1856.86,,
2009-03-20,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2480.94,2484.33,2435.79,2469.37,,-0.24,21800257500.0,1989.56,,
2009-03-23,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2472.85,2533.54,2470.97,2527.33,,2.35,23250537114.0,2206.63,,
2009-03-24,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2561.34,2562.91,2532.1,2541.95,,0.58,23195970502.0,2176.15,,
2009-03-25,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2526.56,2556.7,2485.92,2485.92,,-2.2,20415261566.0,1912.94,,
2009-03-26,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2489.58,2559.9,2463.98,2559.9,,2.98,21199996980.0,1967.47,,
2009-03-27,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2579.42,2594.61,2563.05,2580.21,,0.79,25385724292.0,2291.61,,
2009-03-30,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2582.46,2591.48,2564.79,2572.31,,-0.31,19468037866.0,1809.61,,
2009-03-31,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2522.74,2597.75,2509.5,2597.75,,0.99,19611540961.0,1880.52,,
2009-04-01,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2608.98,2655.75,2608.98,2639.59,,1.61,25478943617.0,2420.07,,
2009-04-02,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2649.74,2685.28,2649.74,2661.14,,0.82,26387941107.0,2498.58,,
2009-04-03,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2680.74,2689.16,2640.49,2649.79,,-0.43,24032328088.0,2295.69,,
2009-04-07,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2651.65,2674.01,2636.12,2665.37,,0.59,17794575458.0,1727.49,,
2009-04-08,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2653.62,2656.19,2568.45,2568.45,,-3.64,20616317529.0,1964.96,,
2009-04-09,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2565.24,2610.25,2546.4,2610.25,,1.63,16231168881.0,1562.02,,
2009-04-10,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2630.55,2691.62,2627.03,2691.62,,3.12,22730297739.0,2273.14,,
2009-04-13,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2716.17,2755.67,2716.17,2746.58,,2.04,27088650500.0,2706.94,,
2009-04-14,000985,中证全指指数,中证全指,CSI All Share Index,CSI All Share,2742.29,2779.36,2737.14,2775.99,,1.07,24092542969.0,2420.23,,
