decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:30:20110509,2011-05-09,2011,14:30,2011_2020,103,30,30,8,0.26666666666666666,-0.06365334676068167,0.021292762159827942,-0.084946108920509605,47.5
14:45:20110509,2011-05-09,2011,14:45,2011_2020,102,30,30,9,0.29999999999999999,-0.062696493796192312,0.0086994720696142447,-0.071395965865806557,46.5
14:30:20110516,2011-05-16,2011,14:30,2011_2020,211,30,30,2,0.066666666666666666,-0.086399097422043866,0.058269555376356183,-0.14466865279840005,112.5
14:45:20110516,2011-05-16,2011,14:45,2011_2020,211,30,30,2,0.066666666666666666,-0.087512321888929906,0.057739572382111227,-0.14525189427104113,103.5
14:30:20110523,2011-05-23,2011,14:30,2011_2020,226,30,30,3,0.10000000000000001,-0.09773498841373203,0.070960963856006129,-0.16869595226973816,127.5
14:45:20110523,2011-05-23,2011,14:45,2011_2020,226,30,30,2,0.066666666666666666,-0.10404551579561629,0.070194114189179327,-0.17423962998479561,120.5
14:30:20110530,2011-05-30,2011,14:30,2011_2020,241,30,30,4,0.13333333333333333,0.050574615752293932,0.2191612903460736,-0.16858667459377966,113.5
14:45:20110530,2011-05-30,2011,14:45,2011_2020,241,30,30,3,0.10000000000000001,0.055754168794802599,0.22613943105768292,-0.17038526226288031,113
14:30:20110607,2011-06-07,2011,14:30,2011_2020,250,30,30,8,0.26666666666666666,0.085268883073682814,0.18961131672731596,-0.10434243365363315,73.5
14:45:20110607,2011-06-07,2011,14:45,2011_2020,250,30,30,6,0.20000000000000001,0.07496623126255339,0.19098516622955733,-0.11601893496700394,79.5
14:30:20110614,2011-06-14,2011,14:30,2011_2020,248,30,30,4,0.13333333333333333,0.049982172553608303,0.18636128336106733,-0.13637911080745901,107.5
14:45:20110614,2011-06-14,2011,14:45,2011_2020,249,30,30,4,0.13333333333333333,0.048920479570809049,0.18755423814827374,-0.13863375857746468,110.5
14:30:20110621,2011-06-21,2011,14:30,2011_2020,261,30,30,7,0.23333333333333334,0.16790940345334657,0.26465273825424895,-0.096743334800902386,69
14:45:20110621,2011-06-21,2011,14:45,2011_2020,261,30,30,6,0.20000000000000001,0.15976817022605055,0.25844322931274039,-0.098675059086689831,79
14:30:20110628,2011-06-28,2011,14:30,2011_2020,296,30,30,6,0.20000000000000001,0.022903166958988135,0.15782482170836593,-0.13492165474937778,111.5
14:45:20110628,2011-06-28,2011,14:45,2011_2020,295,30,30,7,0.23333333333333334,0.02404758919092673,0.15731198477380254,-0.13326439558287581,115.5
14:30:20110705,2011-07-05,2011,14:30,2011_2020,299,30,30,3,0.10000000000000001,-0.02650743435874494,0.154813397562408,-0.18132083192115295,157
14:45:20110705,2011-07-05,2011,14:45,2011_2020,299,30,30,4,0.13333333333333333,-0.019788744979570505,0.15377074760235682,-0.17355949258192732,130.5
14:30:20110712,2011-07-12,2011,14:30,2011_2020,298,30,30,5,0.16666666666666666,-0.074493182504285743,0.096839981833969233,-0.17133316433825496,113
14:45:20110712,2011-07-12,2011,14:45,2011_2020,298,30,30,5,0.16666666666666666,-0.075298711359791423,0.099011645445239174,-0.1743103568050306,120.5
14:30:20110719,2011-07-19,2011,14:30,2011_2020,316,30,30,2,0.066666666666666666,-0.074500333282367534,0.12569400078596807,-0.20019433406833559,150
14:45:20110719,2011-07-19,2011,14:45,2011_2020,316,30,30,2,0.066666666666666666,-0.076647396805459955,0.12813159596905668,-0.20477899277451664,160
14:30:20110726,2011-07-26,2011,14:30,2011_2020,368,30,30,3,0.10000000000000001,-0.043601870701654936,0.13953374157699727,-0.18313561227865222,187
14:45:20110726,2011-07-26,2011,14:45,2011_2020,367,30,30,3,0.10000000000000001,-0.034755688213498649,0.13958206950571703,-0.17433775771921567,178
14:30:20110802,2011-08-02,2011,14:30,2011_2020,389,30,30,3,0.10000000000000001,-0.0014229060035749234,0.13433279929651187,-0.13575570530008679,172
14:45:20110802,2011-08-02,2011,14:45,2011_2020,389,30,30,4,0.13333333333333333,-0.0045138818347319146,0.13062743880769895,-0.13514132064243087,181
14:30:20110809,2011-08-09,2011,14:30,2011_2020,373,30,30,4,0.13333333333333333,-0.0081857644875585889,0.15771424830394171,-0.1659000127915003,227.5
14:45:20110809,2011-08-09,2011,14:45,2011_2020,373,30,30,2,0.066666666666666666,-0.012158134167727767,0.15119539098692283,-0.1633535251546506,211.5
14:30:20110816,2011-08-16,2011,14:30,2011_2020,395,30,30,5,0.16666666666666666,-0.059891556118008511,0.1250417706407092,-0.18493332675871771,285.5
14:45:20110816,2011-08-16,2011,14:45,2011_2020,395,30,30,4,0.13333333333333333,-0.057675271100562579,0.13246588473277615,-0.19014115583333874,282.5
14:30:20110823,2011-08-23,2011,14:30,2011_2020,474,30,30,2,0.066666666666666666,-0.029747347888655674,0.17616103250062184,-0.20590838038927753,333
14:45:20110823,2011-08-23,2011,14:45,2011_2020,474,30,30,1,0.033333333333333333,-0.045583452893420827,0.16918554645493619,-0.21476899934835703,331
14:30:20110830,2011-08-30,2011,14:30,2011_2020,505,30,30,1,0.033333333333333333,-0.12204778249034955,0.090936615718397701,-0.21298439820874726,377
14:45:20110830,2011-08-30,2011,14:45,2011_2020,505,30,30,1,0.033333333333333333,-0.12039163632719581,0.089021575763772259,-0.20941321209096808,386
14:30:20110906,2011-09-06,2011,14:30,2011_2020,470,30,30,1,0.033333333333333333,-0.04992005296665343,0.17481626659675312,-0.22473631956340656,253.5
14:45:20110906,2011-09-06,2011,14:45,2011_2020,470,30,30,1,0.033333333333333333,-0.045756432496947302,0.18221905494663065,-0.22797548744357796,257
14:30:20110914,2011-09-14,2011,14:30,2011_2020,490,30,30,2,0.066666666666666666,-0.053810436148064286,0.1285713712170215,-0.1823818073650858,206.5
14:45:20110914,2011-09-14,2011,14:45,2011_2020,489,30,30,2,0.066666666666666666,-0.054563319624391357,0.12852649999608654,-0.18308981962047788,189
14:30:20110921,2011-09-21,2011,14:30,2011_2020,788,30,30,1,0.033333333333333333,-0.088728349720921876,0.12451733605297219,-0.21324568577389408,420.5
14:45:20110921,2011-09-21,2011,14:45,2011_2020,787,30,30,2,0.066666666666666666,-0.081582236693012483,0.11774665695020081,-0.1993288936432133,410
