factor,factor_label,decision_clock,data_role,n_months,start_period,end_period,linked_log_sum,trend_mode,channel_mode
index,指数,14:30,development_selection,2,2011-06,2011-07,0.05740963437597124,sideways,lower
index,指数,14:30,development_selection,2,2012-04,2012-05,0.0652856069279414,sideways,lower
index,指数,14:30,development_selection,2,2012-08,2012-09,0.03708850232841612,sideways,lower
index,指数,14:30,development_selection,3,2012-12,2013-02,0.21956555904326677,sideways,middle
index,指数,14:30,development_selection,3,2013-07,2013-09,0.11214252084649247,sideways,lower
index,指数,14:30,development_selection,2,2014-01,2014-02,0.06431493431308491,sideways,upper
index,指数,14:30,development_selection,7,2014-05,2014-11,0.28371911894454854,sideways,upper
index,指数,14:30,development_selection,5,2015-01,2015-05,0.7234945168032179,up,upper
index,指数,14:30,development_selection,3,2015-10,2015-12,0.2779478483555893,sideways,middle
index,指数,14:30,development_selection,2,2016-10,2016-11,0.01117802442714631,sideways,middle
index,指数,14:45,development_selection,2,2011-06,2011-07,0.057165321888854356,sideways,lower
index,指数,14:45,development_selection,2,2012-04,2012-05,0.0698302044821624,sideways,lower
index,指数,14:45,development_selection,2,2012-08,2012-09,0.05711648276700709,sideways,lower
index,指数,14:45,development_selection,3,2012-12,2013-02,0.24140937436291682,sideways,middle
index,指数,14:45,development_selection,3,2013-07,2013-09,0.11440171842019976,sideways,lower
index,指数,14:45,development_selection,2,2014-01,2014-02,0.056598611726410404,sideways,upper
index,指数,14:45,development_selection,7,2014-05,2014-11,0.31202586766867363,sideways,upper
index,指数,14:45,development_selection,5,2015-01,2015-05,0.729197253256467,up,upper
index,指数,14:45,development_selection,3,2015-10,2015-12,0.287714598104801,sideways,middle
index,指数,14:45,development_selection,2,2016-10,2016-11,0.018455910271654705,sideways,middle
size,规模,14:30,development_selection,5,2013-01,2013-05,0.013939927276061304,sideways,middle
size,规模,14:30,development_selection,2,2013-10,2013-11,0.004002775574846115,sideways,upper
size,规模,14:30,development_selection,2,2014-05,2014-06,0.014714127530283661,sideways,upper
size,规模,14:30,development_selection,2,2014-11,2014-12,0.047127777456833095,sideways,upper
size,规模,14:30,development_selection,5,2015-10,2016-02,0.013186333380446303,sideways,lower
size,规模,14:30,development_selection,2,2016-10,2016-11,0.004310212709267841,sideways,middle
size,规模,14:45,development_selection,5,2013-01,2013-05,0.009249174877335687,sideways,middle
size,规模,14:45,development_selection,2,2013-10,2013-11,0.0034754336419122018,sideways,upper
size,规模,14:45,development_selection,2,2014-05,2014-06,0.018029614155319916,sideways,upper
size,规模,14:45,development_selection,3,2014-10,2014-12,0.047876137401615976,sideways,upper
size,规模,14:45,development_selection,5,2015-10,2016-02,0.008114833698204024,sideways,lower
size,规模,14:45,development_selection,3,2016-04,2016-06,0.00910545748855185,sideways,lower
size,规模,14:45,development_selection,2,2016-10,2016-11,0.004259097851794562,sideways,middle
industry,行业,14:30,development_selection,2,2011-07,2011-08,0.014885061010871684,sideways,lower
industry,行业,14:30,development_selection,3,2011-10,2011-12,0.028647810387890958,sideways,lower
industry,行业,14:30,development_selection,3,2012-05,2012-07,0.021942237009148373,sideways,lower
industry,行业,14:30,development_selection,2,2012-09,2012-10,0.0047828084111796055,sideways,lower
industry,行业,14:30,development_selection,2,2013-07,2013-08,0.006873442735310745,sideways,lower
industry,行业,14:30,development_selection,3,2013-11,2014-01,0.01131731645324161,sideways,upper
industry,行业,14:30,development_selection,2,2014-08,2014-09,0.018646710368038617,sideways,upper
industry,行业,14:30,development_selection,5,2015-01,2015-05,0.05675272002896528,up,upper
industry,行业,14:30,development_selection,2,2016-10,2016-11,0.012294420063634473,sideways,middle
industry,行业,14:45,development_selection,6,2011-07,2011-12,0.04957462385639251,sideways,lower
industry,行业,14:45,development_selection,3,2012-05,2012-07,0.029074568144274483,sideways,lower
industry,行业,14:45,development_selection,2,2013-02,2013-03,0.0028051516430865585,sideways,middle
industry,行业,14:45,development_selection,2,2013-07,2013-08,0.003495105979212673,sideways,lower
industry,行业,14:45,development_selection,3,2013-11,2014-01,0.01739196966330644,sideways,upper
industry,行业,14:45,development_selection,2,2014-08,2014-09,0.02073482551843432,sideways,upper
industry,行业,14:45,development_selection,5,2015-01,2015-05,0.03792511626150558,up,upper
industry,行业,14:45,development_selection,2,2016-10,2016-11,0.008271600602329876,sideways,middle
