data_role,episode_number,state_id,trend,decision_start_period,decision_end_period,source_start_period,source_end_period,duration_months,persistent_ge_2_months,vol_tag,cross_sectional_row_count
development_material_state_certificate,1,cloudridge_trend_sideways,sideways,2011-05,2011-05,2011-04,2011-04,1,False,low,809
development_material_state_certificate,2,cloudridge_trend_down,down,2011-06,2011-06,2011-05,2011-05,1,False,low,1118
development_material_state_certificate,3,cloudridge_trend_sideways,sideways,2011-07,2011-09,2011-06,2011-08,3,True,low,6682
development_material_state_certificate,4,cloudridge_trend_down,down,2011-10,2011-10,2011-09,2011-09,1,False,low,3767
development_material_state_certificate,5,cloudridge_trend_sideways,sideways,2011-11,2011-12,2011-10,2011-11,2,True,low,11686
development_material_state_certificate,6,cloudridge_trend_down,down,2012-01,2012-01,2011-12,2011-12,1,False,low,3982
development_material_state_certificate,7,cloudridge_trend_sideways,sideways,2012-02,2012-02,2012-01,2012-01,1,False,high,5354
development_material_state_certificate,8,cloudridge_trend_up,up,2012-03,2012-03,2012-02,2012-02,1,False,low,6986
development_material_state_certificate,9,cloudridge_trend_sideways,sideways,2012-04,2012-07,2012-03,2012-06,4,True,low,22924
development_material_state_certificate,10,cloudridge_trend_down,down,2012-08,2012-08,2012-07,2012-07,1,False,low,5950
development_material_state_certificate,11,cloudridge_trend_sideways,sideways,2012-09,2012-11,2012-08,2012-10,3,True,low,18587
development_material_state_certificate,12,cloudridge_trend_down,down,2012-12,2012-12,2012-11,2012-11,1,False,low,8042
development_material_state_certificate,13,cloudridge_trend_up,up,2013-01,2013-01,2012-12,2012-12,1,False,low,6532
development_material_state_certificate,14,cloudridge_trend_sideways,sideways,2013-02,2013-06,2013-01,2013-05,5,True,low,31429
development_material_state_certificate,15,cloudridge_trend_down,down,2013-07,2013-07,2013-06,2013-06,1,False,high,8900
development_material_state_certificate,16,cloudridge_trend_sideways,sideways,2013-08,2014-09,2013-07,2014-08,14,True,low,95160
development_material_state_certificate,17,cloudridge_trend_up,up,2014-10,2014-10,2014-09,2014-09,1,False,low,5769
development_material_state_certificate,18,cloudridge_trend_sideways,sideways,2014-11,2015-03,2014-10,2015-02,5,True,low,26844
development_material_state_certificate,19,cloudridge_trend_up,up,2015-04,2015-06,2015-03,2015-05,3,True,high,14063
development_material_state_certificate,20,cloudridge_trend_down,down,2015-07,2015-09,2015-06,2015-08,3,True,high,11736
development_material_state_certificate,21,cloudridge_trend_sideways,sideways,2015-10,2015-10,2015-09,2015-09,1,False,high,2531
development_material_state_certificate,22,cloudridge_trend_up,up,2015-11,2015-11,2015-10,2015-10,1,False,high,3476
development_material_state_certificate,23,cloudridge_trend_sideways,sideways,2015-12,2016-01,2015-11,2015-12,2,True,mixed,8114
development_material_state_certificate,24,cloudridge_trend_down,down,2016-02,2016-02,2016-01,2016-01,1,False,high,2677
development_material_state_certificate,25,cloudridge_trend_sideways,sideways,2016-03,2016-03,2016-02,2016-02,1,False,high,4685
development_material_state_certificate,26,cloudridge_trend_up,up,2016-04,2016-04,2016-03,2016-03,1,False,high,3725
development_material_state_certificate,27,cloudridge_trend_sideways,sideways,2016-05,2016-12,2016-04,2016-11,8,True,low,40100
development_listing_not_pass_evidence,1,cloudridge_trend_sideways,sideways,2017-01,2017-05,2016-12,2017-04,5,True,low,29808
development_listing_not_pass_evidence,2,cloudridge_trend_down,down,2017-06,2017-06,2017-05,2017-05,1,False,low,8426
development_listing_not_pass_evidence,3,cloudridge_trend_sideways,sideways,2017-07,2017-12,2017-06,2017-11,6,True,low,45424
consumed_repeat_comparison_no_retune,1,cloudridge_trend_sideways,sideways,2018-01,2018-06,2017-12,2018-05,6,True,low,46400
consumed_repeat_comparison_no_retune,2,cloudridge_trend_down,down,2018-07,2018-07,2018-06,2018-06,1,False,high,10946
consumed_repeat_comparison_no_retune,3,cloudridge_trend_sideways,sideways,2018-08,2018-10,2018-07,2018-09,3,True,low,27786
consumed_repeat_comparison_no_retune,4,cloudridge_trend_down,down,2018-11,2018-11,2018-10,2018-10,1,False,high,9752
consumed_repeat_comparison_no_retune,5,cloudridge_trend_sideways,sideways,2018-12,2019-02,2018-11,2019-01,3,True,low,30993
consumed_repeat_comparison_no_retune,6,cloudridge_trend_up,up,2019-03,2019-04,2019-02,2019-03,2,True,high,21839
consumed_repeat_comparison_no_retune,7,cloudridge_trend_sideways,sideways,2019-05,2020-07,2019-04,2020-06,15,True,low,190491
consumed_repeat_comparison_no_retune,8,cloudridge_trend_up,up,2020-08,2020-08,2020-07,2020-07,1,False,high,13234
consumed_repeat_comparison_no_retune,9,cloudridge_trend_sideways,sideways,2020-09,2021-11,2020-08,2021-10,15,True,low,57005
consumed_repeat_comparison_no_retune,10,cloudridge_trend_up,up,2021-12,2021-12,2021-11,2021-11,1,False,low,0
consumed_repeat_comparison_no_retune,11,cloudridge_trend_sideways,sideways,2022-01,2022-01,2021-12,2021-12,1,False,low,0
consumed_repeat_comparison_no_retune,12,cloudridge_trend_down,down,2022-02,2022-02,2022-01,2022-01,1,False,high,0
consumed_repeat_comparison_no_retune,13,cloudridge_trend_sideways,sideways,2022-03,2022-04,2022-02,2022-03,2,True,mixed,0
consumed_repeat_comparison_no_retune,14,cloudridge_trend_down,down,2022-05,2022-05,2022-04,2022-04,1,False,high,0
consumed_repeat_comparison_no_retune,15,cloudridge_trend_up,up,2022-06,2022-06,2022-05,2022-05,1,False,low,0
consumed_repeat_comparison_no_retune,16,cloudridge_trend_sideways,sideways,2022-07,2023-01,2022-06,2022-12,7,True,low,0
consumed_repeat_comparison_no_retune,17,cloudridge_trend_up,up,2023-02,2023-02,2023-01,2023-01,1,False,low,0
consumed_repeat_comparison_no_retune,18,cloudridge_trend_sideways,sideways,2023-03,2024-01,2023-02,2023-12,11,True,low,0
consumed_repeat_comparison_no_retune,19,cloudridge_trend_down,down,2024-02,2024-02,2024-01,2024-01,1,False,high,0
consumed_repeat_comparison_no_retune,20,cloudridge_trend_sideways,sideways,2024-03,2024-06,2024-02,2024-05,4,True,high,0
consumed_repeat_comparison_no_retune,21,cloudridge_trend_down,down,2024-07,2024-07,2024-06,2024-06,1,False,high,0
consumed_repeat_comparison_no_retune,22,cloudridge_trend_sideways,sideways,2024-08,2024-09,2024-07,2024-08,2,True,mixed,0
consumed_repeat_comparison_no_retune,23,cloudridge_trend_up,up,2024-10,2024-10,2024-09,2024-09,1,False,high,0
consumed_repeat_comparison_no_retune,24,cloudridge_trend_sideways,sideways,2024-11,2025-12,2024-10,2025-11,14,True,low,0
