source_period,decision_period,decision_year,data_role,state_id,trend,vol,source_first_date,source_last_date,pit_available_at,n_days,index_log_return,sigma_pit,band,realized_vol,vol_threshold,cross_sectional_support_available,cross_sectional_row_count,unique_decision_dates,unique_symbols,phase_count
2011-04,2011-05,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-04-01,2011-04-29,2011-04-29,19,-0.0645915739948,0.0260445288831,0.113525469434,0.0121104116024,0.0209088461177,True,809,4,332,4
2011-05,2011-06,2011,development_material_state_certificate,cloudridge_trend_down,down,low,2011-05-03,2011-05-31,2011-05-31,21,-0.127247930365,0.0258078744489,0.118266538188,0.0146792975689,0.0206386284812,True,1118,4,401,4
2011-06,2011-07,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-06-01,2011-06-30,2011-06-30,21,0.00943975271374,0.0256023837328,0.117324861427,0.0139771864807,0.0203684108447,True,1354,4,489,4
2011-07,2011-08,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-07-01,2011-07-29,2011-07-29,21,0.00696676355704,0.0253791185761,0.116301731946,0.0138596525317,0.0202939981546,True,2256,5,636,4
2011-08,2011-09,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-08-01,2011-08-31,2011-08-31,23,-0.0320417899953,0.0251631526708,0.120678240805,0.0164012997359,0.0202195854645,True,3072,4,1355,4
2011-09,2011-10,2011,development_material_state_certificate,cloudridge_trend_down,down,low,2011-09-01,2011-09-30,2011-09-30,21,-0.1307295471,0.0249765507643,0.114456934476,0.0155415151065,0.0193126373149,True,3767,3,1500,3
2011-10,2011-11,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-10-10,2011-10-31,2011-10-31,16,0.0369768986622,0.0248160328181,0.0992641312725,0.017896504454,0.0184056891653,True,6454,5,1531,4
2011-11,2011-12,2011,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2011-11-01,2011-11-30,2011-11-30,22,-0.040798914637,0.0247157670485,0.11592722328,0.0162736777381,0.0181626077884,True,5232,4,1566,4
2011-12,2012-01,2012,development_material_state_certificate,cloudridge_trend_down,down,low,2011-12-01,2011-12-30,2011-12-30,22,-0.161727091324,0.0245543357642,0.11517004344,0.01740891309,0.0179195264115,True,3982,3,1574,3
2012-01,2012-02,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2012-01-04,2012-01-31,2012-01-31,15,-0.00698766457413,0.0244378597184,0.0946474237063,0.0294733797965,0.0179080154328,True,5354,4,1593,4
2012-02,2012-03,2012,development_material_state_certificate,cloudridge_trend_up,up,low,2012-02-01,2012-02-29,2012-02-29,21,0.123363345691,0.0245220430452,0.11237411845,0.0118258977663,0.0179195264115,True,6986,5,1626,4
2012-03,2012-04,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2012-03-01,2012-03-30,2012-03-30,22,-0.081367084666,0.0243426418119,0.11417711079,0.0193444717561,0.0179080154328,True,4247,3,1645,3
2012-04,2012-05,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-04-05,2012-04-27,2012-04-27,17,0.0482307817177,0.0242514183969,0.0999911596215,0.0140782599136,0.0179195264115,True,5645,4,1682,4
2012-05,2012-06,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-05-02,2012-05-31,2012-05-31,22,-0.0249648363063,0.0241242857979,0.113152930301,0.0100678665792,0.0179080154328,True,5695,4,1704,4
2012-06,2012-07,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-06-01,2012-06-29,2012-06-29,20,-0.0887957482438,0.023918810736,0.106968173493,0.0127693341486,0.017896504454,True,7337,5,1746,4
2012-07,2012-08,2012,development_material_state_certificate,cloudridge_trend_down,down,low,2012-07-02,2012-07-31,2012-07-31,22,-0.111482902727,0.0237674690905,0.111479311593,0.0152029859638,0.0178717659763,True,5950,4,1766,4
2012-08,2012-09,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-08-01,2012-08-31,2012-08-31,23,0.0178605179734,0.0236366698787,0.113357486511,0.0132105893231,0.0178470274985,True,6083,4,1793,4
2012-09,2012-10,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-09-03,2012-09-28,2012-09-28,20,0.00552939318374,0.0234722133962,0.104970929473,0.0174745714315,0.0177745794151,True,6177,4,1811,4
2012-10,2012-11,2012,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2012-10-08,2012-10-31,2012-10-31,18,-0.00526713674032,0.023381713396,0.0992002085886,0.0114730889279,0.0177021313317,True,6327,4,1841,4
2012-11,2012-12,2012,development_material_state_certificate,cloudridge_trend_down,down,low,2012-11-01,2012-11-30,2012-11-30,22,-0.119929449109,0.0232451323847,0.109029335276,0.0141742361815,0.0175885941387,True,8042,5,1854,4
2012-12,2013-01,2013,development_material_state_certificate,cloudridge_trend_up,up,low,2012-12-03,2012-12-31,2012-12-31,21,0.157740573759,0.023119706008,0.105947802827,0.0163199596146,0.0174750569456,True,6532,4,1861,4
2013-01,2013-02,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-01-04,2013-01-31,2013-01-31,20,0.0618094822009,0.0230438307184,0.103055143897,0.0147983426853,0.0174748141886,True,5006,3,1867,3
2013-02,2013-03,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-02-01,2013-02-28,2013-02-28,15,0.0390657018912,0.0229384983219,0.0888404219876,0.0120792246443,0.0174745714315,True,6859,4,1884,4
2013-03,2013-04,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-03-01,2013-03-29,2013-03-29,21,-0.0396249815945,0.0228413066199,0.104672016558,0.015812394961,0.0174421752756,True,5273,3,1879,3
2013-04,2013-05,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-04-01,2013-04-26,2013-04-26,18,-0.0367783772961,0.0227436867506,0.0964932907831,0.0134687087563,0.0174097791197,True,8937,5,1892,4
2013-05,2013-06,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-05-02,2013-05-31,2013-05-31,22,0.103638203933,0.0226412109545,0.106196692682,0.00948453642092,0.0174093461049,True,5354,3,1884,3
2013-06,2013-07,2013,development_material_state_certificate,cloudridge_trend_down,down,high,2013-06-03,2013-06-28,2013-06-28,17,-0.195604997131,0.0224939324105,0.092744859264,0.0196869461932,0.01740891309,True,8900,5,1897,4
2013-07,2013-08,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-07-01,2013-07-31,2013-07-31,23,0.0599031700904,0.0224950871166,0.107882647914,0.0174049764687,0.0174093461049,True,7125,4,1891,4
2013-08,2013-09,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-08-01,2013-08-30,2013-08-30,22,0.0774571517646,0.0224217799514,0.105167470047,0.0119091693731,0.01740891309,True,7125,4,1892,4
2013-09,2013-10,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-09-02,2013-09-30,2013-09-30,19,0.0470418112876,0.0222981365338,0.0971953237801,0.0092453849014,0.0174069447794,True,7094,4,1890,4
2013-10,2013-11,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-10-08,2013-10-31,2013-10-31,18,-0.0226831356219,0.0221743517544,0.0940778069636,0.0154698581115,0.0174049764687,True,7067,4,1872,4
2013-11,2013-12,2013,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-11-01,2013-11-29,2013-11-29,21,0.0881591346651,0.0221018672486,0.101283479666,0.010962407831,0.0169031381023,True,7027,4,1869,4
2013-12,2014-01,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2013-12-02,2013-12-31,2013-12-31,22,-0.0224233530038,0.0219861842755,0.103124345224,0.0162414914594,0.0164012997359,True,6954,4,1844,4
2014-01,2014-02,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-01-02,2014-01-30,2014-01-30,21,0.016559987239,0.0219106646255,0.100407279173,0.0132595968417,0.0163606296753,True,6869,4,1828,4
2014-02,2014-03,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2014-02-07,2014-02-28,2014-02-28,16,0.0323910761672,0.0218119769255,0.0872479077019,0.0176525232073,0.0163199596146,True,6757,4,1802,4
2014-03,2014-04,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-03-03,2014-03-31,2014-03-31,21,-0.0282078359904,0.0217728715096,0.0997758317895,0.0151021352526,0.0163606296753,True,6573,4,1757,4
2014-04,2014-05,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-04-01,2014-04-30,2014-04-30,21,-0.0285728356931,0.0216946369388,0.0994173159468,0.0125138017769,0.0163199596146,True,6440,4,1719,4
2014-05,2014-06,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-05-05,2014-05-30,2014-05-30,20,0.00118990930425,0.0215956172836,0.0965785365242,0.0108538402376,0.0162968186764,True,6326,4,1697,4
2014-06,2014-07,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-06-03,2014-06-30,2014-06-30,20,0.0271492514164,0.0214914727992,0.096112788231,0.0108313486643,0.0162736777381,True,7762,5,1666,4
2014-07,2014-08,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-07-01,2014-07-31,2014-07-31,23,0.0648324342507,0.0213901072081,0.102583350436,0.00825739330888,0.0162575845987,True,6093,4,1635,4
2014-08,2014-09,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-08-01,2014-08-29,2014-08-29,21,0.0520696979221,0.0212617399305,0.0974335326381,0.00984729626364,0.0162414914594,True,5948,4,1602,4
2014-09,2014-10,2014,development_material_state_certificate,cloudridge_trend_up,up,low,2014-09-01,2014-09-30,2014-09-30,21,0.126064618553,0.0211552372494,0.0969454760401,0.0118782892497,0.0160728354122,True,5769,4,1559,4
2014-10,2014-11,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-10-08,2014-10-31,2014-10-31,18,0.0154504852769,0.0210737110879,0.0894081840902,0.0118684564107,0.015904179365,True,5649,4,1530,4
2014-11,2014-12,2014,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2014-11-03,2014-11-28,2014-11-28,20,0.0587666427309,0.0209956038999,0.0938951950979,0.011966237118,0.015858287163,True,5491,4,1507,4
2014-12,2015-01,2015,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2014-12-01,2014-12-31,2014-12-31,23,-0.0436450735275,0.0209134628285,0.100297444294,0.020985229268,0.015812394961,True,5363,4,1469,4
2015-01,2015-02,2015,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2015-01-05,2015-01-30,2015-01-30,20,0.0801316683593,0.0209155047577,0.0935369808438,0.0162743773926,0.015858287163,True,3936,3,1423,3
2015-02,2015-03,2015,development_material_state_certificate,cloudridge_trend_sideways,sideways,low,2015-02-02,2015-02-27,2015-02-27,15,0.0773640294434,0.0208720721569,0.0808371878645,0.0109858000928,0.015904179365,True,6405,5,1425,4
2015-03,2015-04,2015,development_material_state_certificate,cloudridge_trend_up,up,low,2015-03-02,2015-03-31,2015-03-31,22,0.211256372347,0.020812279694,0.0976182446748,0.0114669356398,0.015858287163,True,4959,4,1396,4
2015-04,2015-05,2015,development_material_state_certificate,cloudridge_trend_up,up,high,2015-04-01,2015-04-30,2015-04-30,21,0.130687848359,0.020748792964,0.0950829143365,0.0226067897358,0.015812394961,True,4730,4,1329,4
2015-05,2015-06,2015,development_material_state_certificate,cloudridge_trend_up,up,high,2015-05-04,2015-05-29,2015-05-29,20,0.193094927506,0.0207821878609,0.0929407695561,0.0281076715237,0.015858287163,True,4374,4,1245,4
2015-06,2015-07,2015,development_material_state_certificate,cloudridge_trend_down,down,high,2015-06-01,2015-06-30,2015-06-30,21,-0.145181284689,0.020901453027,0.0957824906309,0.0445584264502,0.015904179365,True,4703,5,1142,4
2015-07,2015-08,2015,development_material_state_certificate,cloudridge_trend_down,down,high,2015-07-01,2015-07-31,2015-07-31,23,-0.175133343532,0.0213389874093,0.102338188493,0.0646590336826,0.0160728354122,True,3521,4,1056,4
2015-08,2015-09,2015,development_material_state_certificate,cloudridge_trend_down,down,high,2015-08-03,2015-08-31,2015-08-31,21,-0.156818082966,0.0224198848584,0.102740819436,0.0553361207521,0.0162414914594,True,3512,4,1039,4
2015-09,2015-10,2015,development_material_state_certificate,cloudridge_trend_sideways,sideways,high,2015-09-01,2015-09-30,2015-09-30,20,-0.0373843373493,0.0230685596744,0.10316573515,0.0457106858236,0.0162575845987,True,2531,3,1014,3
