data_role,from_state,to_state,transition_count,conditional_probability
development_material_state_certificate,up,up,2,0.25
development_material_state_certificate,up,sideways,5,0.625
development_material_state_certificate,up,down,1,0.125
development_material_state_certificate,sideways,up,5,0.102040816327
development_material_state_certificate,sideways,sideways,37,0.755102040816
development_material_state_certificate,sideways,down,7,0.142857142857
development_material_state_certificate,down,up,1,0.1
development_material_state_certificate,down,sideways,7,0.7
development_material_state_certificate,down,down,2,0.2
development_listing_not_pass_evidence,up,up,0,
development_listing_not_pass_evidence,up,sideways,0,
development_listing_not_pass_evidence,up,down,0,
development_listing_not_pass_evidence,sideways,up,0,0
development_listing_not_pass_evidence,sideways,sideways,9,0.9
development_listing_not_pass_evidence,sideways,down,1,0.1
development_listing_not_pass_evidence,down,up,0,0
development_listing_not_pass_evidence,down,sideways,1,1
development_listing_not_pass_evidence,down,down,0,0
consumed_repeat_comparison_no_retune,up,up,1,0.142857142857
consumed_repeat_comparison_no_retune,up,sideways,6,0.857142857143
consumed_repeat_comparison_no_retune,up,down,0,0
consumed_repeat_comparison_no_retune,sideways,up,5,0.0609756097561
consumed_repeat_comparison_no_retune,sideways,sideways,71,0.865853658537
consumed_repeat_comparison_no_retune,sideways,down,6,0.0731707317073
consumed_repeat_comparison_no_retune,down,up,1,0.166666666667
consumed_repeat_comparison_no_retune,down,sideways,5,0.833333333333
consumed_repeat_comparison_no_retune,down,down,0,0
