data_role,hypothesis_id,factor,condition,expected_direction,decision_clock,episode_id,start_period,end_period,duration_months,factor_active,episode_mean,outside_mean,effect_vs_outside,aligned_with_expected_direction
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:13,2013-01,2013-01,1,True,0.0775213009274,0.0100444101468,0.0674768907806,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:17,2014-10,2014-10,1,True,0.0174642528009,0.0100444101468,0.00741984265413,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:19,2015-04,2015-06,3,True,0.101208401485,0.0100444101468,0.0911639913377,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:22,2015-11,2015-11,1,True,0.0758369201726,0.0100444101468,0.0657925100258,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:26,2016-04,2016-04,1,True,-0.0192605424957,0.0100444101468,-0.0293049526425,False
development_material_pairing,H_INDEX_UP,index,up,enhance,14:30,development_material_pairing:8,2012-03,2012-03,1,True,-0.0309335937293,0.0100444101468,-0.0409780038761,False
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:13,2013-01,2013-01,1,True,0.0772206746658,0.0111772169804,0.0660434576854,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:17,2014-10,2014-10,1,True,0.0159450390747,0.0111772169804,0.00476782209435,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:19,2015-04,2015-06,3,True,0.0913834921629,0.0111772169804,0.0802062751825,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:22,2015-11,2015-11,1,True,0.0878948190724,0.0111772169804,0.076717602092,True
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:26,2016-04,2016-04,1,True,-0.0238348017085,0.0111772169804,-0.0350120186889,False
development_material_pairing,H_INDEX_UP,index,up,enhance,14:45,development_material_pairing:8,2012-03,2012-03,1,True,-0.0317812940407,0.0111772169804,-0.042958511021,False
development_material_pairing,H_INDEX_DOWN,index,down,weaken,14:30,development_material_pairing:10,2012-08,2012-08,1,True,0.035673731923,0.00946638397424,0.0262073479488,False
